N Elementos, Tiempo
2,0.001540
3,0.002053
4,0.001026
5,0.001540
6,0.003079
7,0.006671
8,0.008724
9,0.009237
10,0.012316
11,0.010777
12,0.016422
13,0.009751
14,0.017448
15,0.016422
16,0.036436
17,0.017448
18,0.009237
19,0.018475
20,0.037462
21,0.020527
22,0.024633
23,0.032331
24,0.030791
25,0.028225
26,0.025146
27,0.033870
28,0.037976
29,0.029252
30,0.025659
31,0.038489
32,0.039515
33,0.030278
34,0.033357
35,0.032331
36,0.021041
37,0.022580
38,0.037462
39,0.036949
40,0.043108
41,0.024120
42,0.042081
43,0.047213
44,0.030791
45,0.086728
46,0.054911
47,0.051318
48,0.103150
49,0.061582
50,0.068767
51,0.067227
52,0.050292
53,0.059016
54,0.074412
55,0.084675
56,0.078517
57,0.065688
58,0.060043
59,0.068767
60,0.063122
61,0.058503
62,0.089807
63,0.100071
64,0.079030
65,0.069793
66,0.074925
67,0.066714
68,0.072872
69,0.069280
70,0.103150
71,0.087755
72,0.071333
73,0.085189
74,0.056964
75,0.056450
76,0.059529
77,0.105203
78,0.113414
79,0.061582
80,0.063635
81,0.088268
82,0.103150
83,0.103663
84,0.067740
85,0.112901
86,0.088781
87,0.146258
88,0.128296
89,0.102637
90,0.098018
91,0.317661
92,0.169864
93,0.228880
94,0.199629
95,0.182181
96,0.240684
97,0.266856
98,0.197576
99,0.179615
100,0.184233
