N Elementos, Tiempo
2,0.001026
3,0.002053
4,0.002053
5,0.001026
6,0.152416
7,0.003079
8,0.004105
9,0.004619
10,0.003592
11,0.011803
12,0.008211
13,0.013343
14,0.015396
15,0.015396
16,0.016422
17,0.007698
18,0.010264
19,0.009751
20,0.015396
21,0.027199
22,0.016935
23,0.023606
24,0.041568
25,0.021041
26,0.019501
27,0.032331
28,0.026172
29,0.031304
30,0.024633
31,0.034383
32,0.032331
33,0.043108
34,0.024120
35,0.026686
36,0.046187
37,0.025146
38,0.031304
39,0.048239
40,0.031304
41,0.016935
42,0.020527
43,0.020527
44,0.024120
45,0.023093
46,0.047213
47,0.039515
48,0.052345
49,0.059016
50,0.030791
51,0.052858
52,0.055424
53,0.064148
54,0.036436
55,0.039002
56,0.062095
57,0.060556
58,0.042081
59,0.041055
60,0.080570
61,0.055424
62,0.044647
63,0.042081
64,0.071333
65,0.044647
66,0.047726
67,0.063635
68,0.055937
69,0.058503
70,0.045673
71,0.049779
72,0.051832
73,0.053884
74,0.034897
75,0.035410
76,0.044134
77,0.037976
78,0.053884
79,0.056964
80,0.043108
81,0.040028
82,0.046187
83,0.049779
84,0.055424
85,0.065174
86,0.048239
87,0.075951
88,0.077491
89,0.053371
90,0.075438
91,0.126757
92,0.099558
93,0.113414
94,0.113414
95,0.189878
96,0.215538
97,0.119572
98,0.099558
99,0.105203
100,0.117519
