Elementos,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
0,0.013248,0.013414,0.018691,0.027076,0.03333,0.043147,0.053272,0.065627,0.075903,0.096365
1,0.010204,0.013668,0.019444,0.025331,0.034063,0.046029,0.052889,0.068807,0.080265,0.092433
2,0.008748,0.014237,0.019678,0.027024,0.033774,0.043472,0.054155,0.065205,0.079691,0.088269
3,0.010153,0.013518,0.018682,0.026665,0.033651,0.042462,0.054382,0.064185,0.073884,0.091953
4,0.011307,0.013232,0.018717,0.027676,0.033349,0.042876,0.055871,0.062696,0.076785,0.092884
5,0.009243,0.013686,0.020939,0.026281,0.036175,0.041656,0.05339,0.065206,0.080437,0.088961
6,0.00885,0.013629,0.02023,0.0252,0.035231,0.043094,0.053021,0.062368,0.073866,0.088785
7,0.008444,0.013599,0.018539,0.027106,0.033629,0.043758,0.057166,0.065908,0.073833,0.089903
8,0.00901,0.013374,0.018526,0.026372,0.032906,0.046307,0.053505,0.062216,0.076332,0.08966
9,0.008637,0.014645,0.019013,0.026817,0.033663,0.043345,0.052231,0.065158,0.081739,0.09498
10,0.00995,0.014413,0.018894,0.025094,0.034062,0.042351,0.054995,0.062273,0.075274,0.088183
11,0.00936,0.013037,0.018662,0.026773,0.034854,0.042358,0.052444,0.062936,0.079006,0.088939
12,0.009493,0.012785,0.019669,0.025911,0.034117,0.042243,0.05949,0.061236,0.073969,0.090069
13,0.008467,0.013248,0.019807,0.026974,0.034119,0.04333,0.056308,0.063484,0.07476,0.090849
14,0.008454,0.014359,0.019217,0.027043,0.033297,0.045227,0.055971,0.065018,0.073777,0.086784
15,0.008226,0.012825,0.019405,0.025664,0.035286,0.042928,0.053075,0.062189,0.077151,0.085159
16,0.008661,0.014357,0.019367,0.025172,0.03505,0.040541,0.052447,0.062983,0.079042,0.088791
17,0.008307,0.013328,0.01865,0.025793,0.032872,0.041209,0.057904,0.064756,0.075304,0.086633
18,0.008652,0.01333,0.020305,0.025349,0.031914,0.040293,0.051333,0.060548,0.076622,0.085575
19,0.008685,0.012691,0.018319,0.025478,0.031883,0.041563,0.052062,0.060454,0.074226,0.088057
20,0.008024,0.022978,0.019482,0.025695,0.034909,0.041314,0.052903,0.062714,0.075016,0.08551
21,0.008148,0.01267,0.017942,0.02449,0.034221,0.041705,0.056719,0.063363,0.071975,0.090536
22,0.007927,0.012412,0.017928,0.026515,0.033133,0.04099,0.052029,0.062226,0.074183,0.09173
23,0.008953,0.013587,0.017785,0.027246,0.035584,0.039657,0.049638,0.061151,0.071119,0.082848
24,0.009006,0.028515,0.017739,0.024421,0.032309,0.04191,0.048529,0.062757,0.073173,0.083544
25,0.007848,0.013618,0.017561,0.025614,0.033253,0.040894,0.051286,0.06081,0.070049,0.082591
26,0.007795,0.014118,0.017942,0.025484,0.032621,0.039945,0.052416,0.058263,0.070078,0.085542
27,0.007788,0.014066,0.017955,0.024816,0.033557,0.038814,0.051311,0.061391,0.069537,0.08184
28,0.007751,0.013835,0.017301,0.025221,0.031382,0.039225,0.049237,0.058526,0.069714,0.082915
29,0.00778,0.013714,0.018408,0.023751,0.030413,0.039167,0.048989,0.0586,0.071505,0.083653
30,0.007604,0.012363,0.017387,0.023443,0.030787,0.038556,0.049573,0.059478,0.073348,0.081525
31,0.00769,0.011784,0.017217,0.025669,0.029953,0.039095,0.049286,0.061354,0.069285,0.085652
32,0.007891,0.011687,0.016843,0.022847,0.031575,0.040175,0.048196,0.057663,0.074161,0.085523
